id,name,email,password_hash,role,phone,city,is_active,created_at,organization_name,bio
1,Admin 1,admin1@avre.in,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,admin,+91-7158674534,Hyderabad,1,2026-02-24 11:49:20.021024,,
2,Admin 2,admin2@avre.in,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,admin,+91-7472778629,Bengaluru,1,2026-01-12 11:49:20.021024,,
3,Chanchal Iyengar,arin42@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-9019701716,Kolkata,1,2026-04-11 11:49:20.021024,,
4,Aditya Kata,idada@example.com,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-9033942530,Delhi,1,2026-04-08 11:49:20.021024,,
5,Tanvi Kar,manyaravi@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-9507892938,Jaipur,1,2026-02-19 11:49:20.021024,,
6,Isaac Merchant,dsom@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-8313070509,Mumbai,1,2026-01-23 11:49:20.021024,,
7,Naksh Oommen,tahluwalia@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-8798994136,Lucknow,1,2026-02-19 11:49:20.021024,,
8,Odika Setty,manegabriel@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-7252169338,Mumbai,1,2026-01-16 11:49:20.021024,,
9,Daksha Mitter,mnadig@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-9360369483,Ahmedabad,1,2026-04-05 11:49:20.021024,,
10,Varenya Bhatnagar,tellabhavani@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-8404418017,Pune,1,2026-03-09 11:49:20.021024,,
